date,atm_iv
2015-11-19,30.395820312500003
2015-11-20,28.539423828125006
2015-11-23,28.050898437500006
2015-11-24,27.542832031250008
2015-11-25,27.230175781250004
2015-11-26,25.471484375000003
2015-11-27,32.34992187500001
2015-11-30,32.037265625
2015-12-01,31.353330078125
2015-12-02,30.337197265625004
2015-12-03,31.587822265625004
2015-12-04,31.822314453125006
2015-12-07,31.68552734375001
2015-12-08,30.180869140625006
2015-12-09,30.024541015625005
2015-12-10,30.728017578125005
2015-12-11,30.063623046875005
2015-12-14,32.83844726562501
2015-12-15,28.55896484375
2015-12-16,26.741650390625
2015-12-17,28.891162109375003
2015-12-18,24.904794921875006
2015-12-21,26.487841796875
2015-12-22,26.917519531250004
2015-12-23,26.389912109375004
2015-12-24,25.6278125
2015-12-25,24.748466796875004
2015-12-28,25.295615234375006
